Q5_combined,Q6,Q21_2,Q22_2,Q23_2,Q24_2,Q25_2,Q26_2,Q27_2,Q28_2
1,0,100,100,100,75,100,100,100,100
1,0,100,100,100,100,100,100,74,100
1,0,85,85,100,97,100,92,100,100
1,0,99,98,98,98,99,95,96,96
1,0,80,80,81,70,85,80,100,100
1,0,75,75,100,65,100,74,100,100
1,0,91,86,97,85,100,95,100,100
1,0,100,100,100,60,74,68,100,73
1,0,93,92,84,89,82,83,92,91
1,0,82,77,87,87,97,82,100,80
1,0,100,100,100,65,100,69,64,73
1,0,74,52,93,60,85,94,84,88
1,0,88,93,93,60,93,85,81,91
1,0,77,85,85,78,85,85,86,86
1,0,86,85,87,81,77,82,80,79
1,0,61,78,78,35,77,76,85,78
1,0,75,85,75,69,75,81,86,81
1,0,82,74,87,45,90,91,98,99
1,0,81,87,80,65,67,80,88,92
1,0,83,84,85,85,85,84,84,85
1,0,100,100,100,100,100,100,100,100
1,0,90,90,90,90,90,90,90,90
1,0,94,93,90,89,98,99,98,100
1,0,100,100,100,76,100,100,100,100
1,0,94,90,93,100,97,96,97,97
1,1,72,84,73,64,81,79,80,85
1,1,93,100,90,68,82,87,100,93
1,1,100,100,100,73,100,97,100,100
1,1,60,50,90,90,90,90,100,100
1,1,83,88,84,74,84,81,87,76
1,1,87,91,100,74,100,100,100,100
1,1,92,92,92,70,89,88,87,97
1,1,92,97,97,93,94,96,86,91
1,1,75,83,70,50,47,85,54,44
1,1,75,100,90,36,75,90,100,100
1,1,76,100,100,73,100,76,100,100
1,1,80,98,78,81,69,81,82,80
1,1,100,100,100,100,100,100,100,100
1,1,75,80,65,75,70,70,70,75
1,1,89,97,84,84,86,87,80,98
1,1,71,95,97,70,97,86,100,100
1,1,90,90,90,90,90,90,90,90
1,1,100,100,100,100,100,100,64,82
1,1,73,94,97,88,72,73,87,92
1,1,81,92,91,62,96,97,94,94
1,1,100,100,100,79,53,100,100,77
1,1,100,100,100,70,60,97,91,100
1,1,100,78,100,100,100,100,74,100
1,1,90,90,95,90,90,95,100,100
1,1,65,55,77,23,68,63,88,72
1,1,78,96,77,52,73,62,100,60
1,1,90,89,100,91,88,86,90,100
1,1,82,84,79,79,79,86,89,89
1,1,75,90,80,60,90,95,100,100
